,genre,decade,imdb_score
0,Action,1950,8.7
1,Animation,1960,8.4
2,Music,1950,8.3
3,Sci-Fi,1920,8.3
4,War,1920,8.3
5,Documentary,1970,8.149999999999999
6,Family,1930,8.133333333333333
7,Drama,1910,8.0
8,War,1910,8.0
9,History,1910,8.0
10,Sport,1960,8.0
11,Fantasy,1930,7.9
12,Film-Noir,1940,7.875
13,Comedy,1930,7.857142857142857
14,Crime,1950,7.85
15,Mystery,1940,7.833333333333333
16,Thriller,1940,7.833333333333333
17,Music,1940,7.8
18,War,1940,7.725
19,Biography,1960,7.714285714285714
20,Comedy,1950,7.7
21,Animation,1930,7.7
22,Biography,1970,7.666666666666667
23,War,1960,7.666666666666667
24,Adventure,1930,7.666666666666667
25,Fantasy,1950,7.65
26,Adventure,1950,7.640000000000001
27,Drama,1930,7.633333333333334
28,Documentary,1990,7.633333333333333
29,Family,1960,7.614285714285714
30,Family,1940,7.6000000000000005
31,News,2010,7.6
32,Thriller,1950,7.6
33,Animation,1940,7.566666666666666
34,Mystery,1960,7.56
35,Western,1960,7.554545454545454
36,Crime,1960,7.536363636363637
37,Romance,1920,7.533333333333334
38,Western,1970,7.525
39,Drama,1960,7.507317073170732
40,Romance,1960,7.506666666666666
41,Documentary,1980,7.5
42,Action,1940,7.5
43,Romance,1930,7.489999999999999
44,Drama,1940,7.488235294117647
45,Fantasy,1940,7.4799999999999995
46,Musical,1960,7.466666666666667
47,Musical,1930,7.466666666666666
48,Mystery,1970,7.45
49,Drama,1950,7.445
50,Romance,1940,7.438461538461539
51,Musical,1950,7.433333333333334
52,History,1960,7.43
53,History,1970,7.425
54,War,1930,7.424999999999999
55,Drama,1970,7.411538461538461
56,News,2000,7.4
57,Crime,1940,7.4
58,War,1950,7.3999999999999995
59,Biography,1980,7.388888888888889
60,Fantasy,1970,7.385714285714285
61,Crime,1970,7.376923076923077
62,Action,1960,7.375
63,History,1980,7.364285714285715
64,Drama,1920,7.3500000000000005
65,History,1930,7.35
66,Romance,1950,7.3076923076923075
67,Western,1940,7.3
68,Thriller,1960,7.28
69,Adventure,1960,7.2705882352941185
70,Biography,1990,7.266666666666667
71,Documentary,2000,7.249206349206349
72,War,1970,7.241666666666667
73,Sport,1980,7.2
74,Mystery,1950,7.2
75,Romance,1970,7.152941176470588
76,Film-Noir,1950,7.15
77,War,1990,7.142307692307692
78,Family,1970,7.1375
79,Musical,1970,7.133333333333334
80,Comedy,1970,7.125925925925926
81,Biography,2000,7.109322033898305
82,Western,1950,7.1000000000000005
83,Animation,1980,7.1000000000000005
84,Biography,1950,7.1
85,Comedy,1960,7.1
86,Short,1990,7.1
87,Action,1930,7.1
88,History,2000,7.097435897435898
89,Animation,1990,7.090909090909091
90,Music,1970,7.075
91,Musical,1940,7.05
92,Adventure,1940,7.05
93,Documentary,2010,7.034
94,Biography,2010,7.033673469387755
95,War,2000,7.0034090909090905
96,Music,1960,7.0
97,History,1990,7.0
98,Family,1950,6.966666666666666
99,Thriller,1970,6.960869565217391
100,Sport,1970,6.959999999999999
101,Sci-Fi,1950,6.95
102,Musical,1990,6.947368421052632
103,Adventure,1970,6.941666666666666
104,Drama,1980,6.934905660377359
105,Horror,1960,6.92
106,War,1980,6.9071428571428575
107,History,2010,6.892452830188679
108,Family,1980,6.878571428571428
109,Fantasy,1960,6.85
110,Drama,1990,6.818620689655172
111,War,2010,6.805
112,Comedy,1940,6.8
113,Western,1990,6.786666666666666
114,Western,1980,6.766666666666667
115,Sport,2010,6.717499999999999
116,Drama,2000,6.716760299625468
117,Horror,1950,6.7
118,Music,1980,6.7
119,History,1950,6.7
120,Mystery,1990,6.698648648648648
121,Sci-Fi,1970,6.672000000000001
122,Sport,1990,6.667999999999999
123,Action,1970,6.633333333333333
124,Crime,1990,6.610674157303371
125,Crime,1980,6.590625
126,Fantasy,1980,6.588235294117647
127,Music,1990,6.564516129032258
128,Romance,1980,6.555
129,Drama,2010,6.533142037302727
130,Adventure,2010,6.524150943396227
131,Romance,1990,6.523280423280424
132,Sci-Fi,1980,6.514285714285714
133,Horror,1970,6.507692307692308
134,Adventure,1980,6.505
135,Comedy,1980,6.491764705882352
136,Action,1980,6.457831325301205
137,Crime,2000,6.447905759162303
138,Animation,2000,6.447222222222222
139,Sport,2000,6.431958762886597
140,Western,2000,6.4173913043478255
141,Crime,1920,6.4
142,Mystery,2000,6.396846846846846
143,Animation,2010,6.395652173913043
144,Crime,2010,6.393333333333333
145,Thriller,1990,6.392468619246862
146,Romance,2010,6.375732217573222
147,Thriller,1980,6.350666666666667
148,Sci-Fi,1960,6.35
149,Music,2010,6.349019607843138
150,Sci-Fi,2010,6.34475138121547
151,Musical,1980,6.3428571428571425
152,Comedy,1990,6.337764350453173
153,Adventure,1990,6.325
154,Fantasy,1990,6.315625
155,Romance,2000,6.300000000000001
156,Musical,1920,6.3
157,Thriller,2000,6.285636363636364
158,Mystery,1980,6.276470588235294
159,Family,2010,6.2700000000000005
160,Horror,1980,6.255
161,Music,2000,6.253773584905661
162,Fantasy,2010,6.251176470588236
163,Adventure,2000,6.244057971014493
164,Western,2010,6.244
165,Short,2010,6.2
166,Short,2000,6.2
167,Mystery,2010,6.177272727272727
168,Comedy,2010,6.166125760649088
169,Action,1990,6.16530612244898
170,Action,2010,6.158152173913043
171,Action,2000,6.141206030150753
172,Fantasy,2000,6.107758620689655
173,Thriller,2010,6.105188679245283
174,Musical,2000,6.097727272727273
175,Sci-Fi,2000,6.0893719806763285
176,Family,1990,6.0729729729729724
177,Family,2000,6.04349593495935
178,Sci-Fi,1990,6.035714285714286
179,Horror,1990,6.024242424242424
180,Comedy,2000,5.9942011834319535
181,Musical,2010,5.953571428571428
182,Horror,2000,5.726767676767677
183,Horror,2010,5.519047619047619
