country,decade,nb_film
USA,2010,1070.0
UK,2010,115.0
France,2010,52.0
Canada,2010,39.0
Australia,2010,15.0
USA,2000,1519.0
UK,2000,179.0
France,2000,74.0
Germany,2000,70.0
Canada,2000,56.0
USA,1990,636.0
UK,1990,56.0
France,1990,19.0
Canada,1990,17.0
Australia,1990,11.0
USA,1980,215.0
UK,1980,36.0
Canada,1980,8.0
Australia,1980,6.0
Italy,1980,3.0
USA,1970,85.0
UK,1970,17.0
Italy,1970,2.0
Australia,1970,1.0
Iran,1970,1.0
USA,1960,45.0
UK,1960,16.0
France,1960,5.0
Italy,1960,4.0
West Germany,1960,1.0
USA,1950,24.0
Denmark,1950,1.0
Japan,1950,1.0
UK,1950,1.0
USA,1940,25.0
USA,1930,15.0
USA,1920,3.0
Germany,1920,2.0
USA,1910,1.0
